,"Numberrange","TestNumber","Currency","maxdailyminutes","WeeklyRate","DailyRate","MonthlyRate"
,"Albania AV20","355680313533","USD","3000","0.10000","0.00000","0.12500"
,"Albania AV21","35547235943","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV22","35545800746","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV25","355673799251","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV26","355680310751","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV27","355696876952","USD","8000","0.13000","0.00000","0.15500"
,"Albania AV28","35569999646","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV29","35526420307","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV3","355692655157","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV30","35526860212","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV31","35587380706","USD","3000","0.03500","0.00000","0.04500"
,"Albania AV32","355698733948","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV33","355698733746","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV34","355676703748","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV35","355698890799","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV36","355692099200","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV37","355692571216","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV38","355698739350","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV39","355694733557","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV4","355697567108","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV40","355692495808","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV5","355693553762","USD","3000","0.10000","0.00000","0.12500"
,"Albania AV6","355674090054","USD","3000","0.10000","0.00000","0.12500"
,"Albania AV7","355680311797","USD","3000","0.10000","0.00000","0.12500"
,"Albania AV8","355698739142","USD","3000","0.13000","0.00000","0.15500"
,"Albania AV9","355698733459","USD","3000","0.13000","0.00000","0.15500"
,"Albania CT1","355673272084","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT11","355692987746","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT13","355673275636","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT14","355673275109","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT15","355673945012","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT16","355675472178","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT17","355673276968","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT18","355673272898","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT19","355673276183","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT2","355673275026","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT20","355673274930","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT21","355666230172","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT22","355673274912","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT23","355698546437","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT24","355666085025","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT25","355666107421","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT26","355672090590","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT27","355682025458","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT29","355666272342","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT3","355673275115","USD","3000","0.12000","0.00000","0.15000"
,"Albania CT38","355680398740","USD","6000","0.12000","0.00000","0.15000"
,"Albania CT4","35566623017","USD","3000","0.12000","0.00000","0.15000"
,"Albania FT1","355661100100","USD","3000","0.10000","0.00000","0.12000"
,"Albania FT2","355680900090","USD","3000","0.07000","0.00000","0.09000"
,"Albania FT3","355688700210","USD","3000","0.07000","0.00000","0.09000"
,"Albania FT4","355692795822","USD","3000","0.07000","0.00000","0.08500"
,"Albania FT5","355680900100","USD","3000","0.07000","0.00000","0.09000"
,"Albania LT1","355662013866","USD","3000","0.14000","0.00000","0.16000"
,"Albania LT2","355672071955","USD","3000","0.14000","0.00000","0.16000"
,"Albania LT3","355686794886","USD","3000","0.14000","0.00000","0.16000"
,"Albania LT4","355692215972","USD","3000","0.14000","0.00000","0.16000"
,"Albania Mobile AV2","355692222291","USD","3000","0.13000","0.00000","0.15500"
,"Albania P1","35542493560","EURO","3000","0.17000","0.00000","0.19000"
,"Albania P2","355682064802","EURO","3000","0.08000","0.00000","0.10000"
,"Albania T3","35545020006","USD","3000","0.13000","0.00000","0.15000"
,"Algeria AV1","213660608212","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV10","213554339904","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV100","213770153054","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV101","213772462657","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV102","213771738909","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV103","213770048654","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV104","213770574453","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV105","213772447253","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV106","213772209165","USD","0","0.18000","0.00000","0.20000"
,"Algeria AV107","213771783711","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV108","213771566563","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV109","213771280413","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV11","213539861800","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV110","213771226760","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV111","213770751368","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV112","213771264019","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV113","213770111461","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV114","213774676616","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV115","2137874166168","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV116","213790114545","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV117","21377907468","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV118","213770727712","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV119","213540058336","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV12","213771289907","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV120","213699530659","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV121","213665329647","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV122","213662432460","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV123","213667631778","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV124","213552089450","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV125","213696981370","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV126","213776954377","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV127","213675489671","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV128","213552945477","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV129","213552836473","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV13","213771185303","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV130","213698524300","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV131","213771467751","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV132","213665386754","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV133","213676064652","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV134","213783388703","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV135","213552324151","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV14","213772575110","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV15","213795560921","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV16","213777823509","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV17","213554339910","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV18","213539861810","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV19","213550473410","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV2","213555112941","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV20","213551914725","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV21","213669495405","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV22","213552699202","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV23","213552279612","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV24","213540665305","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV25","213770559605","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV26","213552183709","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV27","213556313500","USD","0","0.14000","0.00000","0.16000"
,"Algeria AV28","213560200603","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV29","213550526800","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV3","213670704256","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV30","213558644609","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV31","213776806602","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV32","213771412968","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV33","213776353521","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV34","213770078524","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV35","213783556725","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV36","213796555308","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV37","213770078361","USD","10000","0.14000","0.00000","0.16000"
,"Algeria AV38","213775663153","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV39","213770153753","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV4","213550411086","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV40","213772435858","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV41","213770062023","USD","8000","0.14000","0.00000","0.16000"
,"Algeria AV42","213770669124","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV43","213770078726","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV44","213798044219","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV45","213540058707","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV46","213666635908","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV47","213663109507","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV48","213675850701","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV49","213770155804","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV5","213670829080","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV50","213793531504","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV51","213798044606","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV52","213542811802","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV53","213554104800","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV54","213555817305","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV55","213558875704","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV56","213559167101","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV57","213559991907","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV58","213656225500","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV59","213675850408","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV6","213540281025","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV61","213501387509","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV62","213540033308","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV63","213540045707","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV64","213541248804","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV65","213799927001","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV66","213798028502","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV67","213798028548","USD","8000","0.14000","0.00000","0.16000"
,"Algeria AV68","213770727506","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV69","213670552634","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV7","213772290027","USD","8000","0.14000","0.00000","0.16000"
,"Algeria AV70","213661030537","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV71","213558999033","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV72","213552827236","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV73","213657045836","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV74","213541981336","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV75","213662238938","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV76","213794531977","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV77","2135570082810","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV78","213559991533","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV79","213559994239","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV8","213540800082","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV80","213542933734","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV81","213799873232","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV82","213790211834","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV83","213777823745","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV84","213777823344","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV85","213776353750","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV86","21377917500","USD","6000","0.14000","0.00000","0.16000"
,"Algeria AV87","213792967812","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV88","213792967241","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV89","213792962712","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV9","213569124882","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV90","213794109586","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV91","213771115541","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV92","213771775480","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV93","213561697974","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV94","213771153688","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV95","213771509861","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV96","213770362459","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV97","213772602750","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV98","213772274303","USD","3000","0.14000","0.00000","0.16000"
,"Algeria AV99","213770078450","USD","3000","0.14000","0.00000","0.16000"
,"Algeria CT1","213555888519","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT12","21354158743","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT17","213556907821","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT18","213559098949","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT19","213541070283","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT2","213541587430","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT20","213541736093","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT21","213541736479","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT22","213541731254","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT24","213541792386","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT25","213541881224","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT27","213540460918","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT28","213541006655","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT29","213553289410","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT3","213560011556","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT30","213554166773","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT31","213560103689","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT34","213550491689","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT38","213549577531","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT4","213559899620","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT40","213542172066","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT41","213540567854","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT44","213554166572","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT47","213550493691","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT49","213550491693","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT5","213561960126","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT52","213559486401","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT54","213656984052","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT55","213657026749","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT56","213550069682","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT57","213552496009","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT58","213774592983","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT59","213796555360","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT6","213698956898","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT60","213552959442","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT61","213665210783","USD","3000","0.14000","0.00000","0.17000"
,"Algeria CT7","213674399296","USD","3000","0.14000","0.00000","0.17000"
,"Algeria FT1","21377912816","USD","3000","0.07000","0.00000","0.08500"
,"Algeria FT2","21377914630","USD","3000","0.07000","0.00000","0.08500"
,"Algeria FT3","21377917630","USD","3000","0.07000","0.00000","0.08500"
,"Algeria FT4","213552899821","USD","3000","0.14000","0.00000","0.17000"
,"Algeria FT5","213669021660","USD","3000","0.12000","0.00000","0.14000"
,"Algeria FT6","213699842660","USD","3000","0.12000","0.00000","0.14000"
,"Algeria LT10","213655906883","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT11","213668157931","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT12","213675060889","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT13","213699507981","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT14","213783319962","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT5","213503878996","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT6","213536220931","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT7","213541979885","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT8","213554040976","USD","3000","0.14000","0.00000","0.16000"
,"Algeria LT9","213561103796","USD","3000","0.14000","0.00000","0.16000"
,"Algeria Mobile AV2","213500385140","USD","3000","0.14000","0.00000","0.16000"
,"Algeria Mobile AV3","213696092040","USD","3000","0.14000","0.00000","0.16000"
,"Algeria Mobile AV6","213670553132","USD","3000","0.14000","0.00000","0.16000"
,"Algeria Mobile AV8","213555886907","USD","3000","0.14000","0.00000","0.16000"
,"Algeria P10","213559196367","EURO","3000","0.12000","0.00000","0.15000"
,"Algeria P2","213559974201","EURO","3000","0.14000","0.00000","0.17000"
,"Algeria P5","213692671173","EURO","3000","0.12000","0.00000","0.14000"
,"Algeria P6","213675489091","EURO","3000","0.12000","0.00000","0.14000"
,"Algeria P7","213790114345","EURO","3000","0.09000","0.00000","0.11000"
,"Algeria P8","213795161017","EURO","3000","0.12000","0.00000","0.15000"
,"Algeria P9","213559974148","EURO","3000","0.14000","0.00000","0.17000"
,"Angola AV2","244947624431","USD","3000","0.04500","0.00000","0.05000"
,"Angola AV3","244923190835","USD","3000","0.04500","0.00000","0.05000"
,"Angola AV4","244924641534","USD","3000","0.04500","0.00000","0.05000"
,"Angola AV5","244920206230","USD","3000","0.04500","0.00000","0.05000"
,"Angola CT1","244787304773","USD","3000","0.05000","0.00000","0.06000"
,"Angola CT2","244947100139","USD","3000","0.05000","0.00000","0.06000"
,"Angola FT1","244949655811","USD","3000","0.05000","0.00000","0.06500"
,"Angola LT1","244923607997","USD","3000","0.06000","0.00000","0.06500"
,"Angola LT2","244939408011","USD","3000","0.06000","0.00000","0.06500"
,"Angola LT3","244944810963","USD","3000","0.06000","0.00000","0.06500"
,"Anguilla AV1","12645369082","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla AV10","12642358184","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla AV11","12645391487","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla AV12","12645397180","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla AV2","12645847107","USD","25000","0.06000","0.00000","0.07000"
,"Anguilla AV3","12645381807","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla AV4","12643525054","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla AV6","12645847209","USD","7000","0.06000","0.00000","0.07000"
,"Anguilla AV7","12645394280","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla AV8","12645847789","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla AV9","12645844101","USD","3000","0.06000","0.00000","0.07000"
,"Anguilla CT1","12642365293","USD","3000","0.07000","0.00000","0.09000"
,"Anguilla CT12","12644625430","USD","20000","0.07000","0.00000","0.09000"
,"Anguilla CT2","12644388752","USD","3000","0.07000","0.00000","0.09000"
,"Anguilla CT3","12644610168","USD","3000","0.07000","0.00000","0.09000"
,"Anguilla LT1","12642357877","USD","3000","0.07000","0.00000","0.08500"
,"Anguilla LT2","12645820944","USD","3000","0.07000","0.00000","0.08500"
,"Antigua AV1","12687886831","USD","3000","0.06000","0.00000","0.06500"
,"Antigua AV2","12687824105","USD","3000","0.06000","0.00000","0.06500"
,"Antigua AV3","12687824209","USD","3000","0.06000","0.00000","0.06500"
,"Antigua AV4","12687829406","USD","3000","0.06000","0.00000","0.06500"
,"Antigua AV5","12687728902","USD","3000","0.06000","0.00000","0.06500"
,"Antigua AV6","12687825401","USD","3000","0.06000","0.00000","0.06500"
,"Antigua AV7","12687822700","USD","8000","0.06000","0.00000","0.06500"
,"Antigua LT3","12687266882","USD","3000","0.07000","0.00000","0.08500"
,"Armenia AV1","37441156331","USD","3000","0.06000","0.00000","0.06500"
,"Armenia AV2","37443307634","USD","3000","0.06000","0.00000","0.06500"
,"Armenia AV3","37477640337","USD","3000","0.06000","0.00000","0.06500"
,"Armenia FT1","37450181800","USD","3000","0.11000","0.00000","0.13000"
,"Armenia FT10","37451672120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT12","37452599750","USD","3000","0.11000","0.00000","0.13000"
,"Armenia FT13","37453377120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT15","37454701120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT17","37457147120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT19","37457250120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT2","37450273070","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT21","37459538120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT23","37459750120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT24","37451672100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT25","37453377100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT26","37454701100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT27","37457147100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT28","37457250100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT29","37450273050","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT30","37459538100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT31","37459750100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT32","37451040100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT33","37451056100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT34","37451627100","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT4","37451040120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT6","37451056120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia FT8","37451627120","USD","3000","0.13000","0.00000","0.15500"
,"Armenia LT1","37441344911","USD","3000","0.07000","0.00000","0.09000"
,"Armenia LT2","37443516984","USD","3000","0.07000","0.00000","0.09000"
,"Armenia LT3","37477586985","USD","3000","0.07000","0.00000","0.09000"
,"Armenia LT4","37491447915","USD","3000","0.07000","0.00000","0.09000"
,"Armenia LT5","37496677859","USD","3000","0.07000","0.00000","0.09000"
,"Armenia LT6","37498784963","USD","3000","0.07000","0.00000","0.09000"
,"Armenia LT7","37499052981","USD","3000","0.07000","0.00000","0.09000"
,"Aruba AV1","2975622403","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV10","2977420004","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV11","2975938734","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV12","2975929735","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV13","2976302131","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV2","2977452009","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV3","2977400402","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV4","2977422504","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV5","2975985800","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV6","2977406204","USD","3000","0.06000","0.00000","0.06500"
,"Aruba AV7","2977460205","USD","3000","0.06000","0.00000","0.06500"
