,"Range Name","Did","Buying Rate","Selling Rate","Currency","Test Number","Minimum Call Duration","perclilimit","Max Daily Minutes","IVR","Routing"
,"Jamaica AT","18764183080","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18764737695","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18763529207","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Trinidad AT","18687040471","0.10000","0.07000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Eritrea AT","2917314697","0.11000","0.07000","USD","0","","2","3000","1#-Segment.wav",""
,"Eritrea AT","2917259724","0.11000","0.07000","USD","0","","2","3000","1#-Segment.wav",""
,"Jamaica AT","18763955478","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18768789092","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18764264803","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18768992624","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Haiti AT","50936736709","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Benin AT","22995151127","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Montserrat AT","16643758954","0.12500","0.08000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Montserrat AT","16643707599","0.12500","0.08000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Ivory AT","22540144493","0.15000","0.11000","USD","0","","8","3000","1#-Segment.wav",""
,"DR Congo AT","243814532996","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Morocco AT","212606163464","0.16000","0.12000","USD","0","","5","10000","1#-Segment.wav",""
,"Benin AT","2299827432","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Benin AT","22995955996","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Haiti AT","50937330777","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Sierra Leone AT","23230110812","0.18000","0.13000","USD","0","","6","10000","1#-Segment.wav",""
,"Sierra Leone AT","23288555953","0.18000","0.13000","USD","0","","6","10000","1#-Segment.wav",""
,"DR Congo AT","243813626804","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Mali AT","22360679460","0.18000","0.16000","USD","0","","20","3000","1#-Segment.wav",""
,"Montserrat AT","16643705657","0.12500","0.08000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Honduras AT","50499744197","0.05000","0.03600","USD","0","","40","20000","1#-Segment.wav",""
,"DR Congo AT","243812855123","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"DR Congo AT","243818843129","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"DR Congo AT","243819991740","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Kenya AT","254712005700","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Kenya AT","254712016190","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Uganda AT","256882403096","0.00000","0.00000","USD","0","","2","30000","1#-Segment.wav",""
,"Zambia AT","260977842360","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"Zambia AT","260977851089","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"DR Congo AT","243810263371","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Albania AT","355684645072","0.14000","0.10000","USD","0","","10","13000","1#-Segment.wav",""
,"Diego Garcia AT","2466230000","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Haiti AT","50936291165","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Haiti AT","50947669548","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Maldives AT","9609800888","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"Maldives AT","9609961210","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"Qatar AT","97430306243","0.08000","0.06000","USD","0","","20","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Qatar AT","97430537393","0.08000","0.06000","USD","0","","20","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Georgia AT","995514481188","0.09000","0.07000","USD","0","","10","3000","1#-Segment.wav",""
,"Madagascar AT","261328006599","0.21000","0.15000","USD","0","","5","3000","1#-Segment.wav",""
,"Jamaica AT","18765747264","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Oman AT","96892766293","0.10000","0.07000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Sint Maarten AT","17215422571","0.06000","0.04500","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Jamaica AT","18762958772","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18763804345","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18763827676","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18764482095","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18764820953","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18768611945","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18768793442","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Algeria AT","213549772276","0.14000","0.10000","USD","0","","15","30000","1#-Segment.wav",""
,"Tunisia AT","21653318910","0.18000","0.13000","USD","0","","15","10000","1#-Segment.wav",""
,"Senegal AT","221775662657","0.16000","0.12000","USD","0","","15","20000","1#-Segment.wav",""
,"Tunisia AT","21655019113","0.18000","0.13000","USD","0","","15","10000","1#-Segment.wav",""
,"Ivory AT","22505051428","0.15000","0.11000","USD","0","","8","3000","1#-Segment.wav",""
,"Jordan AT","9627377373","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Tuvalu AT","68899793400789","0.28000","0.21000","USD","0","","10","3000","1#-Segment.wav",""
,"Kiribati AT","686982800763","0.25000","0.18000","USD","0","","2","3000","1#-Segment.wav",""
,"DR Congo AT","243814896511","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Jamaica AT","18765892093","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"DR Congo AT","243818006467","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Slovenia AT","38649568832","0.16000","0.10000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Jamaica AT","18765984329","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Zambia AT","260976492530","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"Diego Garcia AT","2462924005","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Haiti AT","50937773777","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Maldives AT","960543851799","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"DR Congo AT","243819408679","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Zambia AT","260977775668","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"Barbados AT","12468368418","0.09000","0.07000","USD","0","","5","30000","1#-Segment.wav",""
,"Georgia AT","995568670741","0.09000","0.07000","USD","0","","10","3000","1#-Segment.wav",""
,"Mauritania AT","22246810328","0.19000","0.14000","USD","0","","6","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Kenya AT","254797230949","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Nauru AT","6745578253","0.28000","0.21000","USD","0","","4","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Kenya AT","254797271483","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Algeria AT","213790873511","0.14000","0.10000","USD","0","","15","30000","1#-Segment.wav",""
,"Italy AT","393200265303","0.08000","0.06000","USD","0","","2","3000","1#-Segment.wav",""
,"CAR AT","23677120105","0.18000","0.13000","USD","0","","70","30000","1#-Segment.wav",""
,"Algeria AV30","213558644608","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644613","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644614","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644610","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644604","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644605","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644618","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644603","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644619","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644602","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644612","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644601","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644617","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Algeria AV30","213558644611","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Algeria AV30","213558644600","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Algeria AV30","213558644615","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Algeria AV30","213558644606","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Algeria AV30","213558644616","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Algeria AV30","213558644607","0.19000","0.13000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav","IVR"
,"Algeria AV30","213558644609","0.19000","0.13000","USD","1","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Zambia AT","260977844699","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"DR Congo AT","243815827682","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"DR Congo AT","243895092708","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Diego Garcia AT","246284700","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Nigeria AT","2347035847469","0.04000","0.03000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Rwanda AT","250344402982","0.12000","0.09000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Kenya AT","254733834075","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Chad AT","23599545592","0.19000","0.13000","USD","0","","6","30000","1#-Segment.wav",""
,"Burundi AT","25769120383","0.21000","0.15000","USD","0","","6","30000","1#-Segment.wav",""
,"Diego Garcia AT","246126369069","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Madagascar AT","261324404004","0.21000","0.15000","USD","0","","5","3000","1#-Segment.wav",""
,"Albania AT","355676100885","0.14000","0.10000","USD","0","","10","13000","1#-Segment.wav",""
,"Kiribati AT","68647437","0.25000","0.18000","USD","0","","2","3000","1#-Segment.wav",""
,"Maldives AT","9607308088","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"UAE AT","971558606468","0.06000","0.05500","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Burundi AT","25768117598","0.21000","0.15000","USD","0","","6","30000","1#-Segment.wav",""
,"Tunisia AT","21654311304","0.18000","0.13000","USD","0","","15","10000","1#-Segment.wav",""
,"Jamaica AT","18762784565","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18764164457","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Jamaica AT","18764475902","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Morocco AT","212634020645","0.16000","0.12000","USD","0","","5","10000","1#-Segment.wav",""
,"Diego Garcia AT","246601252949","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Algeria AT","213670025903","0.14000","0.10000","USD","0","","15","30000","1#-Segment.wav",""
,"Burkina Faso AT","22664311434","0.15000","0.11000","USD","0","","3","30000","1#-Segment.wav",""
,"UAE AT","971582909914","0.06000","0.05500","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"DR Congo AT","243812143890","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Kiribati AT","6861770555","0.25000","0.18000","USD","0","","2","3000","1#-Segment.wav",""
,"Western Samao AT","685581870","0.26000","0.19000","USD","0","","20","30000","1#-Segment.wav",""
,"Western Samao AT","685031271","0.26000","0.19000","USD","0","","20","30000","1#-Segment.wav",""
,"Algeria AT","213778407759","0.14000","0.10000","USD","0","","15","30000","1#-Segment.wav",""
,"Slovenia AT","38649475172","0.16000","0.10000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Diego Garcia AT","2469375440","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Benin AT","22995777863","0.09000","0.07000","USD","0","","35","30000","1#-Segment.wav",""
,"Uganda AT","256883553468","0.00000","0.00000","USD","0","","2","30000","1#-Segment.wav",""
,"Tunisia AT","21694371271","0.18000","0.13000","USD","0","","15","10000","1#-Segment.wav",""
,"Mali AT","22371040017","0.18000","0.16000","USD","0","","20","3000","1#-Segment.wav",""
,"Guinea AT","224628277621","0.19000","0.14000","USD","0","","70","100000","TeachYourselfEnglishINTHECITY.wav",""
,"Burkina Faso AT","22675071573","0.15000","0.11000","USD","0","","3","30000","1#-Segment.wav",""
,"Albania AT","355698364323","0.14000","0.10000","USD","0","","10","13000","1#-Segment.wav",""
,"Ivory AT","22540258093","0.15000","0.11000","USD","0","","8","3000","1#-Segment.wav",""
,"Kenya AT","254797217224","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Kiribati AT","6863830166","0.25000","0.18000","USD","0","","2","3000","1#-Segment.wav",""
,"Algeria AT","213662144660","0.14000","0.10000","USD","0","","15","30000","1#-Segment.wav",""
,"Western Samao AT","6857774918","0.26000","0.19000","USD","0","","20","30000","1#-Segment.wav",""
,"Equatorial Guinea AT","24069895602","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Equatorial Guinea AT","240222209635","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Equatorial Guinea AT","240555534882","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Equatorial Guinea AT","240222305542","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Equatorial Guinea AT","240555949293","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Equatorial Guinea AT","240551919120","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Equatorial Guinea AT","240222068903","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Maldives AT","96033558618","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"Diego Garcia AT","246964654216","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Kenya AT","254703016221","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Kenya AT","254703034232","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Burundi AT","25769128116","0.21000","0.15000","USD","0","","6","30000","1#-Segment.wav",""
,"Zambia AT","260977564492","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"Zambia AT","260978209021","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"Diego Garcia AT","2465104190","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Madagascar AT","261327207979","0.21000","0.15000","USD","0","","5","3000","1#-Segment.wav",""
,"Madagascar AT","261327107307","0.21000","0.15000","USD","0","","5","3000","1#-Segment.wav",""
,"Haiti AT","5094779519","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Jordan AT","962776549223","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962779171402","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Iraq AT","9647723307867","0.10000","0.07000","USD","0","","2","3000","1#-Segment.wav",""
,"Iraq AT","9647735594634","0.10000","0.07000","USD","0","","2","3000","1#-Segment.wav",""
,"Nigeria AT","2347035807493","0.04000","0.03000","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Zambia AT","260978719246","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"UAE AT","971582629917","0.06000","0.05500","USD","0","","","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Ivory AT","22508029124","0.15000","0.11000","USD","0","","8","3000","1#-Segment.wav",""
,"Cameroon AT","237699061698","0.12000","0.08000","USD","0","","0","0","1#-Segment.wav",""
,"Tunisia AT","21653182891","0.18000","0.13000","USD","0","","15","10000","1#-Segment.wav",""
,"Jordan AT","962779170971","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776618422","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776619202","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776631509","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776633868","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776637345","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776881807","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776882346","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776886635","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962778689585","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776615696","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962779136414","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776611248","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962779173626","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962779280185","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962779282471","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962779450365","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962779454837","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962779455406","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Tunisia AT","21623210869","0.18000","0.13000","USD","0","","15","10000","1#-Segment.wav",""
,"Qatar AT","97430880977","0.08000","0.06000","USD","0","","20","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Maldives AT","96030059579","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"Jordan AT","962779130161","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"DR Congo AT","243816608304","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Diego Garcia AT","2463890890","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"DR Congo AT","243819230816","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"DR Congo AT","243818165270","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"DR Congo AT","243818160904","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Kenya AT","254712072895","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Jordan AT","962776615954","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"DR Congo AT","243817638250","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Jordan AT","962776542423","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Diego Garcia AT","246113094019","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Jordan AT","962776544245","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"Jordan AT","962776543604","0.08000","0.05000","USD","0","","5","6000","1#-Segment.wav",""
,"DR Congo AT","243818849","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Burundi AT","25768118627","0.21000","0.15000","USD","0","","6","30000","1#-Segment.wav",""
,"Diego Garcia AT","246622564899","0.29000","0.21000","USD","0","","2","3000","1#-Segment.wav",""
,"Kenya AT","254703034203","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Kenya AT","254703034139","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Western Samao AT","685379331","0.26000","0.19000","USD","0","","20","30000","1#-Segment.wav",""
,"Seychelles AT","24842397178","0.24000","0.18000","USD","0","","110","3000","1#-Segment.wav",""
,"DR Congo AT","243813197972","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"DR Congo AT","243811462923","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"DR Congo AT","243815200849","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Jamaica AT","18768983886","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Tunisia AT","21698020159","0.18000","0.13000","USD","0","","15","10000","1#-Segment.wav",""
,"DR Congo AT","243819470800","0.16000","0.12000","USD","0","","3","3000","1#-Segment.wav",""
,"Albania AT","355688730151","0.14000","0.10000","USD","0","","10","13000","1#-Segment.wav",""
,"Zimbabwe AT","263783558976","0.19000","0.14000","USD","0","","20","10000","1#-Segment.wav",""
,"Turks AT","16495223010","0.08000","0.06000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Kenya AT","254792583338","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Burundi AT","25779550435","0.21000","0.15000","USD","0","","6","30000","1#-Segment.wav",""
,"Zambia AT","260978912856","0.15000","0.11000","USD","0","","30","10000","1#-Segment.wav",""
,"Maldives AT","96092279637","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"Maldives AT","9607632550","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"Kenya AT","254712012857","0.07000","0.05000","USD","0","","2","3000","1#-Segment.wav",""
,"Qatar AT","97430193577","0.08000","0.06000","USD","0","","20","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Equatorial Guinea AT","240666122530","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Maldives AT","9609706199","0.28000","0.21000","USD","0","","50","30000","1#-Segment.wav",""
,"Turks AT","16495237220","0.08000","0.06000","USD","0","","0","3000","TeachYourselfEnglishINTHECITY.wav",""
,"Guatemala AT","50230096465","0.07500","0.05000","USD","0","","10","3000","1#-Segment.wav",""
,"Haiti AT","50948397528","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Haiti AT","50948348320","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Haiti AT","50938886562","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Haiti AT","50937871594","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Haiti AT","50937411864","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Haiti AT","50931405341","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Haiti AT","50931098274","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Honduras AT","50496006265","0.05000","0.03600","USD","0","","40","20000","1#-Segment.wav",""
,"Guatemala AT","50234029153","0.07500","0.05000","USD","0","","10","3000","1#-Segment.wav",""
,"Madagascar AT","261326205090","0.21000","0.15000","USD","0","","5","3000","1#-Segment.wav",""
,"Ascension Islands AT","2472525309","0.28000","0.21000","USD","0","","30","30000","1#-Segment.wav",""
,"Jamaica AT","18765946141","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Equatorial Guinea AT","240555895617","0.15000","0.11000","USD","0","","30","30000","1#-Segment.wav",""
,"Eritrea AT","2917160913","0.11000","0.07000","USD","0","","2","3000","1#-Segment.wav",""
,"Ivory AT","22548656951","0.15000","0.11000","USD","0","","8","3000","1#-Segment.wav",""
,"Guatemala AT","50243365672","0.07500","0.05000","USD","0","","10","3000","1#-Segment.wav",""
,"Haiti AT","50948512387","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
,"Eritrea AT","2917317258","0.11000","0.07000","USD","0","","2","3000","1#-Segment.wav",""
,"Jamaica AT","18768443978","0.09000","0.07000","USD","0","","10","30000","1#-Segment.wav",""
,"Haiti AT","50937921918","0.11000","0.08000","USD","0","","12","30000","1#-Segment.wav",""
