Range_Name,Buying,Weekly,Monthly,Dial Code,len,Number_Format,Number_Format_Length,diff,Range_Start,Range_End
Myanmar AT11,0.11,0.08,0.09,9500970,7,95XXXXXXXXX,11,4,95009700000,95009709999
Myanmar AT12,0.11,0.08,0.09,9502997,7,95XXXXXXXXX,11,4,95029970000,95029979999
Myanmar AT13,0.11,0.08,0.09,9505332,7,95XXXXXXXXX,11,4,95053320000,95053329999
Myanmar AT14,0.11,0.08,0.09,9509471,7,95XXXXXXXXX,11,4,95094710000,95094719999
Myanmar AT17,0.11,0.08,0.09,9530117,7,95XXXXXXXXX,11,4,95301170000,95301179999
Myanmar AT18,0.11,0.08,0.09,9543231,7,95XXXXXXXXX,11,4,95432310000,95432319999
Myanmar AT19,0.11,0.08,0.09,9545880,7,95XXXXXXXXX,11,4,95458800000,95458809999
Myanmar AT20,0.11,0.08,0.09,9546016,7,95XXXXXXXXX,11,4,95460160000,95460169999
Myanmar AT21,0.11,0.08,0.09,9546924,7,95XXXXXXXXX,11,4,95469240000,95469249999
Myanmar AT22,0.11,0.08,0.09,9549440,7,95XXXXXXXXX,11,4,95494400000,95494409999
Myanmar AT23,0.11,0.08,0.09,9552520,7,95XXXXXXXXX,11,4,95525200000,95525209999
Myanmar AT24,0.11,0.08,0.09,9552530,7,95XXXXXXXXX,11,4,95525300000,95525309999
Myanmar AT25,0.11,0.08,0.09,9552587,7,95XXXXXXXXX,11,4,95525870000,95525879999
Myanmar AT26,0.11,0.08,0.09,9567790,7,95XXXXXXXXX,11,4,95677900000,95677909999
Myanmar AT27,0.11,0.08,0.09,9570700,7,95XXXXXXXXX,11,4,95707000000,95707009999
Myanmar AT28,0.11,0.08,0.09,9570702,7,95XXXXXXXXX,11,4,95707020000,95707029999
Myanmar AT29,0.11,0.08,0.09,9570809,7,95XXXXXXXXX,11,4,95708090000,95708099999
Myanmar AT30,0.11,0.08,0.09,9573220,7,95XXXXXXXXX,11,4,95732200000,95732209999
Myanmar AT31,0.11,0.08,0.09,9573223,7,95XXXXXXXXX,11,4,95732230000,95732239999
Myanmar AT32,0.11,0.08,0.09,9581806,7,95XXXXXXXXX,11,4,95818060000,95818069999
Poland AT10,0.15,0.11,0.13,484591,6,48XXXXXXX,9,3,484591000,484591999
Poland AT51,0.15,0.11,0.13,4845910,7,48XXXXXXX,9,2,484591000,484591099
Poland AT52,0.15,0.11,0.13,4845911,7,48XXXXXXX,9,2,484591100,484591199
Poland AT53,0.15,0.11,0.13,4845915,7,48XXXXXXX,9,2,484591500,484591599
Poland AT54,0.15,0.11,0.13,4845917,7,48XXXXXXX,9,2,484591700,484591799
Poland AT55,0.15,0.11,0.13,4845920,7,48XXXXXXX,9,2,484592000,484592099
Poland AT56,0.15,0.11,0.13,4845950,7,48XXXXXXX,9,2,484595000,484595099
Poland AT69,0.15,0.11,0.13,4857946,7,48XXXXXXX,9,2,485794600,485794699
Poland AT70,0.15,0.11,0.13,4857947,7,48XXXXXXX,9,2,485794700,485794799
Poland AT71,0.15,0.11,0.13,4857948,7,48XXXXXXX,9,2,485794800,485794899
Russia AT23,0.12,0.09,0.1,7967708,7,79XXXXXXXXX,11,4,79677080000,79677089999
Russia AT24,0.12,0.09,0.1,7968209,7,79XXXXXXXXX,11,4,79682090000,79682099999
Russia AT25,0.12,0.09,0.1,7968211,7,79XXXXXXXXX,11,4,79682110000,79682119999
Russia AT63,0.21,0.15,0.19,7954401,7,79XXXXXXXXX,11,4,79544010000,79544019999
Russia AT64,0.21,0.15,0.19,7954423,7,79XXXXXXXXX,11,4,79544230000,79544239999
Russia AT65,0.21,0.15,0.19,7954427,7,79XXXXXXXXX,11,4,79544270000,79544279999
Russia AT66,0.21,0.15,0.19,7954475,7,79XXXXXXXXX,11,4,79544750000,79544759999
Russia AT67,0.21,0.15,0.19,7954490,7,79XXXXXXXXX,11,4,79544900000,79544909999
Russia AT71,0.21,0.15,0.19,7954615,7,79XXXXXXXXX,11,4,79546150000,79546159999
Russia AT72,0.21,0.15,0.19,7954630,7,79XXXXXXXXX,11,4,79546300000,79546309999
Russia AT73,0.21,0.15,0.19,7954632,7,79XXXXXXXXX,11,4,79546320000,79546329999
Russia AT74,0.21,0.15,0.19,7954637,7,79XXXXXXXXX,11,4,79546370000,79546379999
Russia AT75,0.21,0.15,0.19,7954638,7,79XXXXXXXXX,11,4,79546380000,79546389999
Russia AT76,0.21,0.15,0.19,7954660,7,79XXXXXXXXX,11,4,79546600000,79546609999
Russia AT77,0.21,0.15,0.19,7954668,7,79XXXXXXXXX,11,4,79546680000,79546689999
Russia AT80,0.21,0.15,0.19,7954801,7,79XXXXXXXXX,11,4,79548010000,79548019999
Russia AT81,0.21,0.15,0.19,7954840,7,79XXXXXXXXX,11,4,79548400000,79548409999
Russia AT82,0.21,0.15,0.19,7954841,7,79XXXXXXXXX,11,4,79548410000,79548419999
Russia AT83,0.21,0.15,0.19,7954842,7,79XXXXXXXXX,11,4,79548420000,79548429999
Russia AT84,0.21,0.15,0.19,7954849,7,79XXXXXXXXX,11,4,79548490000,79548499999
Russia AT85,0.21,0.15,0.19,7954850,7,79XXXXXXXXX,11,4,79548500000,79548509999
Russia AT86,0.21,0.15,0.19,7954854,7,79XXXXXXXXX,11,4,79548540000,79548549999
Russia AT87,0.21,0.15,0.19,7954910,7,79XXXXXXXXX,11,4,79549100000,79549109999
Russia AT88,0.21,0.15,0.19,7954914,7,79XXXXXXXXX,11,4,79549140000,79549149999
Russia AT89,0.21,0.15,0.19,7954916,7,79XXXXXXXXX,11,4,79549160000,79549169999
Russia AT90,0.21,0.15,0.19,7954917,7,79XXXXXXXXX,11,4,79549170000,79549179999
Russia AT91,0.21,0.15,0.19,7954960,7,79XXXXXXXXX,11,4,79549600000,79549609999
Russia AT93,0.21,0.15,0.19,7956015,7,79XXXXXXXXX,11,4,79560150000,79560159999
Russia AT94,0.21,0.15,0.19,7956023,7,79XXXXXXXXX,11,4,79560230000,79560239999
Russia AT95,0.21,0.15,0.19,7956033,7,79XXXXXXXXX,11,4,79560330000,79560339999
Russia AT96,0.21,0.15,0.19,7956040,7,79XXXXXXXXX,11,4,79560400000,79560409999
Russia AT97,0.21,0.15,0.19,7956063,7,79XXXXXXXXX,11,4,79560630000,79560639999
Russia AT98,0.21,0.15,0.19,7956066,7,79XXXXXXXXX,11,4,79560660000,79560669999
Russia AT99,0.21,0.15,0.19,7956073,7,79XXXXXXXXX,11,4,79560730000,79560739999
Russia AT100,0.21,0.15,0.19,7956082,7,79XXXXXXXXX,11,4,79560820000,79560829999
Russia AT101,0.21,0.15,0.19,7956084,7,79XXXXXXXXX,11,4,79560840000,79560849999
Russia AT102,0.21,0.15,0.19,7956106,7,79XXXXXXXXX,11,4,79561060000,79561069999
Russia AT103,0.21,0.15,0.19,7956115,7,79XXXXXXXXX,11,4,79561150000,79561159999
Russia AT104,0.21,0.15,0.19,7956124,7,79XXXXXXXXX,11,4,79561240000,79561249999
Russia AT105,0.21,0.15,0.19,7956144,7,79XXXXXXXXX,11,4,79561440000,79561449999
Russia AT106,0.21,0.15,0.19,7956162,7,79XXXXXXXXX,11,4,79561620000,79561629999
Russia AT107,0.21,0.15,0.19,7956173,7,79XXXXXXXXX,11,4,79561730000,79561739999
Russia AT108,0.21,0.15,0.19,7956179,7,79XXXXXXXXX,11,4,79561790000,79561799999
Russia AT109,0.21,0.15,0.19,7956185,7,79XXXXXXXXX,11,4,79561850000,79561859999
Russia AT110,0.21,0.15,0.19,7956186,7,79XXXXXXXXX,11,4,79561860000,79561869999
Russia AT111,0.21,0.15,0.19,7956196,7,79XXXXXXXXX,11,4,79561960000,79561969999
Russia AT112,0.21,0.15,0.19,7956224,7,79XXXXXXXXX,11,4,79562240000,79562249999
Russia AT113,0.21,0.15,0.19,7956228,7,79XXXXXXXXX,11,4,79562280000,79562289999
Russia AT114,0.21,0.15,0.19,7956229,7,79XXXXXXXXX,11,4,79562290000,79562299999
Russia AT115,0.21,0.15,0.19,7956235,7,79XXXXXXXXX,11,4,79562350000,79562359999
Russia AT116,0.21,0.15,0.19,7956240,7,79XXXXXXXXX,11,4,79562400000,79562409999
Russia AT117,0.21,0.15,0.19,7956244,7,79XXXXXXXXX,11,4,79562440000,79562449999
Russia AT118,0.21,0.15,0.19,7956245,7,79XXXXXXXXX,11,4,79562450000,79562459999
Russia AT119,0.21,0.15,0.19,7956256,7,79XXXXXXXXX,11,4,79562560000,79562569999
Russia AT120,0.21,0.15,0.19,7956268,7,79XXXXXXXXX,11,4,79562680000,79562689999
Russia AT121,0.21,0.15,0.19,7956276,7,79XXXXXXXXX,11,4,79562760000,79562769999
Russia AT122,0.21,0.15,0.19,7956308,7,79XXXXXXXXX,11,4,79563080000,79563089999
Russia AT123,0.21,0.15,0.19,7956312,7,79XXXXXXXXX,11,4,79563120000,79563129999
Russia AT124,0.21,0.15,0.19,7956313,7,79XXXXXXXXX,11,4,79563130000,79563139999
Russia AT125,0.21,0.15,0.19,7956328,7,79XXXXXXXXX,11,4,79563280000,79563289999
Russia AT126,0.21,0.15,0.19,7956329,7,79XXXXXXXXX,11,4,79563290000,79563299999
Russia AT127,0.21,0.15,0.19,7956371,7,79XXXXXXXXX,11,4,79563710000,79563719999
Russia AT128,0.21,0.15,0.19,7956379,7,79XXXXXXXXX,11,4,79563790000,79563799999
Russia AT129,0.21,0.15,0.19,7956380,7,79XXXXXXXXX,11,4,79563800000,79563809999
Russia AT130,0.21,0.15,0.19,7956383,7,79XXXXXXXXX,11,4,79563830000,79563839999
Russia AT170,0.21,0.15,0.19,7956833,7,79XXXXXXXXX,11,4,79568330000,79568339999
Russia AT171,0.21,0.15,0.19,7956837,7,79XXXXXXXXX,11,4,79568370000,79568379999
Russia AT172,0.21,0.15,0.19,7956848,7,79XXXXXXXXX,11,4,79568480000,79568489999
Russia AT173,0.21,0.15,0.19,7956852,7,79XXXXXXXXX,11,4,79568520000,79568529999
Russia AT174,0.21,0.15,0.19,7956882,7,79XXXXXXXXX,11,4,79568820000,79568829999
Russia AT175,0.21,0.15,0.19,7956883,7,79XXXXXXXXX,11,4,79568830000,79568839999
Russia AT176,0.21,0.15,0.19,7956884,7,79XXXXXXXXX,11,4,79568840000,79568849999
Russia AT177,0.21,0.15,0.19,7956887,7,79XXXXXXXXX,11,4,79568870000,79568879999
Russia AT178,0.21,0.15,0.19,7956909,7,79XXXXXXXXX,11,4,79569090000,79569099999
Russia AT179,0.21,0.15,0.19,7956911,7,79XXXXXXXXX,11,4,79569110000,79569119999
Russia AT180,0.21,0.15,0.19,7956924,7,79XXXXXXXXX,11,4,79569240000,79569249999
Russia AT181,0.21,0.15,0.19,7956943,7,79XXXXXXXXX,11,4,79569430000,79569439999
Russia AT182,0.21,0.15,0.19,7956945,7,79XXXXXXXXX,11,4,79569450000,79569459999
Russia AT183,0.21,0.15,0.19,7956957,7,79XXXXXXXXX,11,4,79569570000,79569579999
Russia AT184,0.21,0.15,0.19,7956967,7,79XXXXXXXXX,11,4,79569670000,79569679999
Russia AT185,0.21,0.15,0.19,7956976,7,79XXXXXXXXX,11,4,79569760000,79569769999
Russia AT186,0.21,0.15,0.19,7956988,7,79XXXXXXXXX,11,4,79569880000,79569889999
Russia AT187,0.21,0.15,0.19,7956996,7,79XXXXXXXXX,11,4,79569960000,79569969999
Russia AT190,0.21,0.15,0.19,7978568,7,79XXXXXXXXX,11,4,79785680000,79785689999
Russia AT191,0.21,0.15,0.19,7978586,7,79XXXXXXXXX,11,4,79785860000,79785869999
Russia AT245,0.12,0.09,0.1,7932449,7,79XXXXXXXXX,11,4,79324490000,79324499999
Albania AT89,0.14,0.1,0.12,355033,6,355XXXXXXXXX,12,6,355033000000,355033999999
Albania AT102,0.14,0.1,0.12,35503320,8,355XXXXXXXXX,12,4,355033200000,355033209999
Albania AT121,0.14,0.1,0.12,35570113,8,355XXXXXXXXX,12,4,355701130000,355701139999
Albania AT122,0.14,0.1,0.12,35570121,8,355XXXXXXXXX,12,4,355701210000,355701219999
Albania AT123,0.14,0.1,0.12,35570134,8,355XXXXXXXXX,12,4,355701340000,355701349999
Albania AT124,0.14,0.1,0.12,35570145,8,355XXXXXXXXX,12,4,355701450000,355701459999
Albania AT125,0.14,0.1,0.12,35570157,8,355XXXXXXXXX,12,4,355701570000,355701579999
Albania AT126,0.14,0.1,0.12,35570165,8,355XXXXXXXXX,12,4,355701650000,355701659999
Albania AT127,0.14,0.1,0.12,35570171,8,355XXXXXXXXX,12,4,355701710000,355701719999
Albania AT128,0.14,0.1,0.12,35570185,8,355XXXXXXXXX,12,4,355701850000,355701859999
Albania AT129,0.14,0.1,0.12,35570219,8,355XXXXXXXXX,12,4,355702190000,355702199999
Albania AT130,0.14,0.1,0.12,35570248,8,355XXXXXXXXX,12,4,355702480000,355702489999
Albania AT131,0.14,0.1,0.12,35570256,8,355XXXXXXXXX,12,4,355702560000,355702569999
Albania AT132,0.14,0.1,0.12,35570267,8,355XXXXXXXXX,12,4,355702670000,355702679999
Albania AT133,0.14,0.1,0.12,35570276,8,355XXXXXXXXX,12,4,355702760000,355702769999
Andorra AT8,0.16,0.12,0.14,376528,6,376XXXXXXXXXXXX,15,9,376528000000000,376528999999999
Andorra AT30,0.16,0.12,0.14,376232,6,376XXXXXXXXXXXX,15,9,376232000000000,376232999999999
Andorra AT31,0.16,0.12,0.14,376406,6,376XXXXXXXXXXXX,15,9,376406000000000,376406999999999
Antarctica AT1,0.21,0.15,0.19,67212,5,672XXXXXX,9,4,672120000,672129999
Armenia AT14,0.1,0.07,0.085,3743579,7,374XXXXXX,9,2,374357900,374357999
Armenia AT15,0.1,0.07,0.085,3745028,7,374XXXXXX,9,2,374502800,374502899
Armenia AT16,0.1,0.07,0.085,3745031,7,374XXXXXX,9,2,374503100,374503199
Armenia AT17,0.1,0.07,0.085,3745927,7,374XXXXXX,9,2,374592700,374592799
Armenia AT22,0.1,0.07,0.085,3748052,7,374XXXXXX,9,2,374805200,374805299
Armenia AT23,0.1,0.07,0.085,3748062,7,374XXXXXX,9,2,374806200,374806299
Armenia AT24,0.1,0.07,0.085,3748072,7,374XXXXXX,9,2,374807200,374807299
Armenia AT25,0.1,0.07,0.085,3748084,7,374XXXXXX,9,2,374808400,374808499
Armenia AT26,0.1,0.07,0.085,3748091,7,374XXXXXX,9,2,374809100,374809199
Armenia AT27,0.1,0.07,0.085,3748104,7,374XXXXXX,9,2,374810400,374810499
Armenia AT28,0.1,0.07,0.085,3748114,7,374XXXXXX,9,2,374811400,374811499
Armenia AT29,0.1,0.07,0.085,3748117,7,374XXXXXX,9,2,374811700,374811799
Armenia AT30,0.1,0.07,0.085,3748128,7,374XXXXXX,9,2,374812800,374812899
Armenia AT31,0.1,0.07,0.085,3748137,7,374XXXXXX,9,2,374813700,374813799
Armenia AT32,0.1,0.07,0.085,3748147,7,374XXXXXX,9,2,374814700,374814799
Armenia AT33,0.1,0.07,0.085,3748153,7,374XXXXXX,9,2,374815300,374815399
Armenia AT34,0.1,0.07,0.085,3748164,7,374XXXXXX,9,2,374816400,374816499
Armenia AT35,0.1,0.07,0.085,3748188,7,374XXXXXX,9,2,374818800,374818899
Armenia AT36,0.1,0.07,0.085,3749207,7,374XXXXXX,9,2,374920700,374920799
Armenia AT37,0.1,0.07,0.085,3749210,7,374XXXXXX,9,2,374921000,374921099
Armenia AT38,0.1,0.07,0.085,3749276,7,374XXXXXX,9,2,374927600,374927699
Armenia AT39,0.1,0.07,0.085,3744725,7,374XXXXXX,9,2,374472500,374472599
Ascension Islands AT4,0.28,0.21,0.25,2476,4,247XXXXXX,9,5,247600000,247699999
Ascension Islands AT5,0.28,0.21,0.25,2477,4,247XXXXXX,9,5,247700000,247799999
Ascension Islands AT24,0.28,0.21,0.25,24720,5,247XXXXXX,9,4,247200000,247209999
Ascension Islands AT25,0.28,0.21,0.25,24721,5,247XXXXXX,9,4,247210000,247219999
Ascension Islands AT26,0.28,0.21,0.25,24722,5,247XXXXXX,9,4,247220000,247229999
Ascension Islands AT27,0.28,0.21,0.25,24723,5,247XXXXXX,9,4,247230000,247239999
Ascension Islands AT28,0.28,0.21,0.25,24724,5,247XXXXXX,9,4,247240000,247249999
Ascension Islands AT29,0.28,0.21,0.25,24725,5,247XXXXXX,9,4,247250000,247259999
Ascension Islands AT30,0.28,0.21,0.25,24726,5,247XXXXXX,9,4,247260000,247269999
Ascension Islands AT31,0.28,0.21,0.25,24727,5,247XXXXXX,9,4,247270000,247279999
Ascension Islands AT32,0.28,0.21,0.25,24728,5,247XXXXXX,9,4,247280000,247289999
Ascension Islands AT33,0.28,0.21,0.25,24729,5,247XXXXXX,9,4,247290000,247299999
Ascension Islands AT34,0.28,0.21,0.25,24730,5,247XXXXXX,9,4,247300000,247309999
Ascension Islands AT35,0.28,0.21,0.25,24731,5,247XXXXXX,9,4,247310000,247319999
Ascension Islands AT36,0.28,0.21,0.25,24732,5,247XXXXXX,9,4,247320000,247329999
Ascension Islands AT37,0.28,0.21,0.25,24733,5,247XXXXXX,9,4,247330000,247339999
Ascension Islands AT38,0.28,0.21,0.25,24734,5,247XXXXXX,9,4,247340000,247349999
Ascension Islands AT39,0.28,0.21,0.25,24735,5,247XXXXXX,9,4,247350000,247359999
Ascension Islands AT40,0.28,0.21,0.25,24736,5,247XXXXXX,9,4,247360000,247369999
Ascension Islands AT41,0.28,0.21,0.25,24737,5,247XXXXXX,9,4,247370000,247379999
Ascension Islands AT42,0.28,0.21,0.25,24738,5,247XXXXXX,9,4,247380000,247389999
Ascension Islands AT43,0.28,0.21,0.25,24739,5,247XXXXXX,9,4,247390000,247399999
Ascension Islands AT63,0.28,0.21,0.25,24760,5,247XXXXXX,9,4,247600000,247609999
Ascension Islands AT64,0.28,0.21,0.25,24761,5,247XXXXXX,9,4,247610000,247619999
Ascension Islands AT68,0.28,0.21,0.25,24765,5,247XXXXXX,9,4,247650000,247659999
Ascension Islands AT71,0.28,0.21,0.25,24768,5,247XXXXXX,9,4,247680000,247689999
Ascension Islands AT72,0.28,0.21,0.25,24769,5,247XXXXXX,9,4,247690000,247699999
Ascension Islands AT73,0.28,0.21,0.25,24770,5,247XXXXXX,9,4,247700000,247709999
Ascension Islands AT74,0.28,0.21,0.25,24771,5,247XXXXXX,9,4,247710000,247719999
Ascension Islands AT75,0.28,0.21,0.25,24772,5,247XXXXXX,9,4,247720000,247729999
Ascension Islands AT76,0.28,0.21,0.25,24774,5,247XXXXXX,9,4,247740000,247749999
Ascension Islands AT77,0.28,0.21,0.25,24775,5,247XXXXXX,9,4,247750000,247759999
Ascension Islands AT78,0.28,0.21,0.25,24776,5,247XXXXXX,9,4,247760000,247769999
Ascension Islands AT79,0.28,0.21,0.25,24777,5,247XXXXXX,9,4,247770000,247779999
Ascension Islands AT80,0.28,0.21,0.25,24778,5,247XXXXXX,9,4,247780000,247789999
Ascension Islands AT81,0.28,0.21,0.25,24779,5,247XXXXXX,9,4,247790000,247799999
Ascension Islands AT98,0.28,0.21,0.25,247221,6,247XXXXXX,9,3,247221000,247221999
Australia AT7,0.17,0.12,0.15,67288,5,672XXXXXX,9,4,672880000,672889999
Australia AT8,0.17,0.12,0.15,67289,5,672XXXXXX,9,4,672890000,672899999
Azerbaijan AT109,0.12,0.09,0.1,99422280,8,994XXXXXXX,10,2,9942228000,9942228099
Azerbaijan AT111,0.12,0.09,0.1,99424428,8,994XXXXXXX,10,2,9942442800,9942442899
Azerbaijan AT113,0.12,0.09,0.1,99441028,8,994XXXXXXX,10,2,9944102800,9944102899
Azerbaijan AT114,0.12,0.09,0.1,99441034,8,994XXXXXXX,10,2,9944103400,9944103499
Azerbaijan AT115,0.12,0.09,0.1,99441042,8,994XXXXXXX,10,2,9944104200,9944104299
Azerbaijan AT116,0.12,0.09,0.1,99441054,8,994XXXXXXX,10,2,9944105400,9944105499
Azerbaijan AT117,0.12,0.09,0.1,99441069,8,994XXXXXXX,10,2,9944106900,9944106999
Azerbaijan AT118,0.12,0.09,0.1,99441125,8,994XXXXXXX,10,2,9944112500,9944112599
Azerbaijan AT119,0.12,0.09,0.1,99441135,8,994XXXXXXX,10,2,9944113500,9944113599
Azerbaijan AT120,0.12,0.09,0.1,99441237,8,994XXXXXXX,10,2,9944123700,9944123799
Azerbaijan AT121,0.12,0.09,0.1,99441242,8,994XXXXXXX,10,2,9944124200,9944124299
Azerbaijan AT122,0.12,0.09,0.1,99441258,8,994XXXXXXX,10,2,9944125800,9944125899
Azerbaijan AT123,0.12,0.09,0.1,99442008,8,994XXXXXXX,10,2,9944200800,9944200899
Azerbaijan AT124,0.12,0.09,0.1,99442024,8,994XXXXXXX,10,2,9944202400,9944202499
Azerbaijan AT125,0.12,0.09,0.1,99442198,8,994XXXXXXX,10,2,9944219800,9944219899
Azerbaijan AT126,0.12,0.09,0.1,99442258,8,994XXXXXXX,10,2,9944225800,9944225899
Azerbaijan AT127,0.12,0.09,0.1,99442268,8,994XXXXXXX,10,2,9944226800,9944226899
Azerbaijan AT128,0.12,0.09,0.1,99442318,8,994XXXXXXX,10,2,9944231800,9944231899
Belarus AT44,0.14,0.1,0.12,375267,6,375XXXXXXXX,11,5,37526700000,37526799999
Belarus AT46,0.14,0.1,0.12,3752515,7,375XXXXXXXX,11,4,37525150000,37525159999
Belarus AT57,0.14,0.1,0.12,37521782,8,375XXXXXXXX,11,3,37521782000,37521782999
Belarus AT60,0.14,0.1,0.12,37523988,8,375XXXXXXXX,11,3,37523988000,37523988999
Belarus AT61,0.14,0.1,0.12,37525000,8,375XXXXXXXX,11,3,37525000000,37525000999
Belarus AT62,0.14,0.1,0.12,37525001,8,375XXXXXXXX,11,3,37525001000,37525001999
Belarus AT63,0.14,0.1,0.12,37525037,8,375XXXXXXXX,11,3,37525037000,37525037999
Belarus AT64,0.14,0.1,0.12,37525048,8,375XXXXXXXX,11,3,37525048000,37525048999
Belarus AT65,0.14,0.1,0.12,37525091,8,375XXXXXXXX,11,3,37525091000,37525091999
Belarus AT66,0.14,0.1,0.12,37525138,8,375XXXXXXXX,11,3,37525138000,37525138999
Belarus AT67,0.14,0.1,0.12,37525142,8,375XXXXXXXX,11,3,37525142000,37525142999
Belarus AT68,0.14,0.1,0.12,37525147,8,375XXXXXXXX,11,3,37525147000,37525147999
Belarus AT69,0.14,0.1,0.12,37525148,8,375XXXXXXXX,11,3,37525148000,37525148999
Belarus AT70,0.14,0.1,0.12,37525149,8,375XXXXXXXX,11,3,37525149000,37525149999
Belarus AT71,0.14,0.1,0.12,37525150,8,375XXXXXXXX,11,3,37525150000,37525150999
Belarus AT72,0.14,0.1,0.12,37525151,8,375XXXXXXXX,11,3,37525151000,37525151999
Belarus AT73,0.14,0.1,0.12,37525152,8,375XXXXXXXX,11,3,37525152000,37525152999
Belarus AT74,0.14,0.1,0.12,37525153,8,375XXXXXXXX,11,3,37525153000,37525153999
Belarus AT75,0.14,0.1,0.12,37525158,8,375XXXXXXXX,11,3,37525158000,37525158999
Belarus AT76,0.14,0.1,0.12,37525222,8,375XXXXXXXX,11,3,37525222000,37525222999
Belarus AT77,0.14,0.1,0.12,37525345,8,375XXXXXXXX,11,3,37525345000,37525345999
Belarus AT78,0.14,0.1,0.12,37525410,8,375XXXXXXXX,11,3,37525410000,37525410999
Belarus AT79,0.14,0.1,0.12,37525418,8,375XXXXXXXX,11,3,37525418000,37525418999
Belarus AT80,0.14,0.1,0.12,37525419,8,375XXXXXXXX,11,3,37525419000,37525419999
Belarus AT81,0.14,0.1,0.12,37525421,8,375XXXXXXXX,11,3,37525421000,37525421999
Belarus AT82,0.14,0.1,0.12,37525450,8,375XXXXXXXX,11,3,37525450000,37525450999
Belarus AT83,0.14,0.1,0.12,37525459,8,375XXXXXXXX,11,3,37525459000,37525459999
Belarus AT84,0.14,0.1,0.12,37525462,8,375XXXXXXXX,11,3,37525462000,37525462999
Belarus AT85,0.14,0.1,0.12,37525470,8,375XXXXXXXX,11,3,37525470000,37525470999
Belarus AT86,0.14,0.1,0.12,37525489,8,375XXXXXXXX,11,3,37525489000,37525489999
Belarus AT87,0.14,0.1,0.12,37525490,8,375XXXXXXXX,11,3,37525490000,37525490999
Belarus AT88,0.14,0.1,0.12,37525498,8,375XXXXXXXX,11,3,37525498000,37525498999
Belarus AT89,0.14,0.1,0.12,37525804,8,375XXXXXXXX,11,3,37525804000,37525804999
Belarus AT90,0.14,0.1,0.12,37525826,8,375XXXXXXXX,11,3,37525826000,37525826999
Belarus AT91,0.14,0.1,0.12,37525840,8,375XXXXXXXX,11,3,37525840000,37525840999
Belarus AT92,0.14,0.1,0.12,37525856,8,375XXXXXXXX,11,3,37525856000,37525856999
Belarus AT93,0.14,0.1,0.12,37525857,8,375XXXXXXXX,11,3,37525857000,37525857999
Belarus AT94,0.14,0.1,0.12,37525862,8,375XXXXXXXX,11,3,37525862000,37525862999
Belarus AT95,0.14,0.1,0.12,37527620,8,375XXXXXXXX,11,3,37527620000,37527620999
Belarus AT96,0.14,0.1,0.12,37528736,8,375XXXXXXXX,11,3,37528736000,37528736999
Belarus AT97,0.14,0.1,0.12,37572884,8,375XXXXXXXX,11,3,37572884000,37572884999
Belarus AT98,0.14,0.1,0.12,37572918,8,375XXXXXXXX,11,3,37572918000,37572918999
Belarus AT99,0.14,0.1,0.12,37573024,8,375XXXXXXXX,11,3,37573024000,37573024999
Belarus AT100,0.14,0.1,0.12,37573112,8,375XXXXXXXX,11,3,37573112000,37573112999
Belarus AT101,0.14,0.1,0.12,37573244,8,375XXXXXXXX,11,3,37573244000,37573244999
