Range_Name,DID
Equatorial Guinea CT39,240905006622
Ecuador ET31,593940885326
Haiti AV2,50933011527
Ecuador ET31,593940882241
Ecuador ET31,593940886684
Switzerland P1,41748183425
South Africa BD1,27310880039
Sierra Leone AT8,23277649658
Sierra Leone AT8,23277737458
Guinea CT58,22479920304
Ecuador ET31,593940885756
Ecuador ET31,593940889286
Ecuador ET31,593940888329
Bolivia ET10,59179350809
Zambia AT1,260973833065
St. Helena PS2,290610800
Montenegro ET9,382689970620
St. Helena PS2,290610471
Morocco AV6,212602771203
Morocco AV10,212600444300
Sierra Leone AT1,23230221507
Guinea CT58,22479920301
Cuba AV141,5348796077
Montenegro ET9,382689972439
Sierra Leone AT1,23230221564
Tunisia AV14,21698020006
Cuba AV141,5348796090
Lithuania E44,37070095009
Seychelles AT1,2482682597
Seychelles AT1,2482682563
St. Helena PS5,290986895
Zambia AT1,260973834321
Guinea Bissau AT6,245955851318
Estonia P14,37257237187
Estonia P14,37257237188
Estonia P14,37257237192
Estonia P14,37257237190
Estonia P14,37257237186
Chad AV4,23598841584
Estonia P14,37257237191
Eq Guinea T1,240961879600
St. Helena PS2,290610347
Seychelles AT1,2482682574
Monaco Mobile AV3,37744174446
Seychelles AT1,2482682506
Ascension Island AT1,24777668
Spain AV1,34902552813
Estonia P14,37257237189
Oman AT,96895373199
Haiti AV2,50933011526
Spain AV1,34902552802
Lithuania P18,37066814409
South Africa BD1,27310880045
Lithuania E44,37070095007
Cuba AV141,5348796099
Switzerland P1,41748183448
Lithuania E44,37070095004
Lithuania E44,37070095003
Montenegro ET9,382689972232
Eq Guinea T1,240555869796
CAR ET5,23677236384
Abkhazia E2,79407642817
St. Helena PS2,290610887
CAR ET5,23677230198
South Africa BD1,27310880050
Equatorial Guinea CT17,240222604547
Cuba AV141,5348796079
Barbados AT1,12462300193
Latvia E43,37166269004
St. Helena PS2,290610053
Eq Guinea T1,240555635304
Equatorial Guinea AT,240001120501
Poland T1,48459108533
Gabon AT10,2410303381
Falkland Island AT1,50056760
Equatorial Guinea T5,240907567046
Equatorial Guinea T5,240907537321
Lithuania P18,37066814441
Lithuania E44,37070095005
Tunisia AV9,21628963403
Chad AV4,23598841600
Finland P1,358409034740
Spain AV1,34902552815
Seychelles AT1,2482682587
Guinea Bissau AT6,245955933416
St. Helena AT2,2908512
Bolivia ET10,59179350670
Azerbaijan AT1,994551842571
Montenegro ET3,382682312326
South Africa BD1,27310880051
Czech PRS P1,420910041057
Montenegro ET9,382689970148
Montenegro ET9,382689970227
Equatorial Guinea T5,240907559060
CAR ET5,23677230660
St. Helena PS2,290610551
Equatorial Guinea T5,240907544397
Barbados AV3,12462600353
Montenegro ET9,382689970445
Finland P1,358409034741
Estonia P10,37256101317
Equatorial Guinea T10,240222905376
Montenegro ET9,382689970260
Zambia AT1,260973830839
Equatorial Guinea T4,2406264633
Eq Guinea T1,240600977110
Estonia P10,37256101314
Estonia P10,37256101318
Czech PRS P1,420910041065
Monaco Mobile AV3,37744174442
South Africa BD1,27310880053
Equatorial Guinea T10,240222904647
Latvia E43,37166269018
Abkhazia E3,79407906312
South Africa BD1,27310880047
Equatorial Guinea T10,240222904847
Estonia P10,37256101315
South Africa BD1,27310880052
Equatorial Guinea T5,240907549665
Czech PRS P1,420910041069
St. Helena PS5,290986801
South Africa BD1,27310880048
Tunisa AV3,21628923301
Eq Guinea T1,240555611940
Monaco Mobile AV3,37744174443
Haiti AV2,50933011528
Estonia P10,37256101316
Morocco AV6,212602771206
CAR ET5,23677239002
Tunisia AV9,21628963406
St. Helena PS2,290610737
Montenegro ET9,382689972427
Haiti AV2,50933011525
Central African Republic CT10,23676411490
Algeria Mobile AV6,213670570533
Azerbaijan AT1,994551842056
Finland P1,358409034742
Sierra Leone AT8,23277671919
Cuba AV141,5348796072
Jordan CT30,962790506171
Latvia E40,37122247958
Algeria CT28,213541006655
Sierra Leone AT8,23277670926
Czech PRS P1,420910041064
Sierra Leone AT8,23277471312
Montenegro ET9,382689970360
CAR ET5,23677231782
Guinea CT58,22479920515
Finland P1,358409034704
Seychelles Mobile AV1,2482704012
Sierra Leone AT8,23277677609
South Africa BD1,27310880049
Malawi AT,265888387389
Congo CT24,242800209575
Seychelles Mobile AV1,2482704019
Sierra Leone AT8,23277672436
Algeria Mobile AV6,213670570531
CAR ET5,23677232274
Finland P1,358409034703
Bolivia ET10,59179350815
Morocco ET6,212622373836
Tunisia AV23,21650003232
St. Helena PS7,29002554
St. Helena AT2,2908784
Morocco AV15,212687607286
Finland P1,358409034701
Sierra Leone AT8,23277679275
Lithuania P18,37066814401
South Africa BD1,27310880054
Eq Guinea T1,240978940305
Eq Guinea T1,240925369412
Algeria Mobile AV6,213670570536
Guinea T11,22478888269
Malawi AT,265888387388
Equatorial Guinea CT17,240222604545
St. Helena PS5,290986873
Lithuania P18,37066814405
Montenegro ET9,382689970509
Tunisia AV16,21652055111
Seychelles Mobile AV1,2482704014
Central African Republic CT10,23676411260
Sierra Leone AT8,23277378943
Estonia P14,37257237201
Guinea AV4,22430444702
Malawi AV7,265883375066
CAR ET5,23677237471
Ecuador ET40,593947532400
Eq Guinea T1,240900852382
Cuba AV141,5348796096
Seychelles Mobile AV1,2482704018
Bolivia ET4,59171730372
Honduras ET2,50497715023
Ascension AT1,247694929
ZAMBIA KT2,260973872175
Czech PRS P1,420910041053
Finland P1,358409034784
Equatorial Guinea CT39,240905000981
Central African Republic CT10,23676411261
Algeria Mobile AV6,213670570534
Eq Guinea T1,240555586520
Guinea CT58,22479920516
Ecuador ET40,593947535310
Bolivia ET5,59160882948
Malawi AT,265888470675
Aruba AT,2975681549
Guinea CT58,22479920773
South Africa BD1,27310880056
Morocco AV9,212612316301
Car CT2,2367610263
Zimbabwe AT,263734958033
Latvia P71,37169000053
Guinea T11,22478888402
St. Helena PS2,290610154
Bolivia ET5,59160883734
Ecuador ET40,593947531291
Guinea CT61,22479009023
Eq Guinea T1,240555634987
Zimbabwe AV1,263770022609
Honduras ET2,50497710827
St Vincent AV6,17844003629
Chad AT,23599009070
Latvia E47,37123605002
Ecuador ET40,593947531493
Sierra Leone AT8,23277575641
Algeria Mobile AV6,213670570535
St. Helena PS5,290986851
Malawi AV3,265881929905
Ecuador ET40,593947538407
Car CT2,2367610034
Ascension Islands AT1,247047871
Eq Guinea T1,240551695282
Latvia E40,37122247957
Abkhazia E2,79407642812
Car CT1,2367712070
Bolivia ET5,59160883642
St. Helena PS2,290610598
Niger AT1,22720787262
Belgium AT1,32468902239
Sierra Leone AT8,23277558117
Equatorial Guinea T4,2406264693
Zambia AV5,260218924902
Eq Guinea T3,2409472401
Chad AV16,23599439295
Bolivia ET4,59171730422
Abkhazia E9,79407904542
Car CT2,2367610049
Guinea CT58,22479920306
Montenegro AV4,38267922132
Abkhazia E3,79407906315
Central African Republic CT5,23677121351
Monaco Mobile AV3,37744174441
Central African Republic CT3,23677121129
Algeria Mobile AV6,213670570539
Tunisia AV9,21628963402
Falkland Island AT1,50064047
Car CT2,2367610069
Central African Republic CT3,23677121124
Montenegro AV4,38267922133
Chad AV16,23599439352
CAR ET5,23677234486
Montenegro ET9,382689970996
Seychelles Mobile AV1,2482704015
Morocco AV5,212662004279
Finland P1,358409034702
Car CT2,2367610053
Morocco AV9,212612316302
Finland P1,358409034780
Finland P1,358409034705
Guinea CT58,22479920519
Niger AT1,22720767642
Niger AT1,22720745046
Latvia E47,37123605003
Jordan CT20,962790516982
Algeria Mobile AV6,213670570532
Algeria Mobile AV6,213670570538
Central African Republic CT10,23676411497
Niger AT1,22720724212
Gabon CT1,24101732729
Tunisia AV19,21653899317
Malawi AT1,265881926196
Honduras ET3,50495933982
Papua AT,67572211770
Ascension Islands AT1,247047401
Jordan CT54,962777207779
Lithuania P16,37066811599
Eq Guinea T1,240550000559
Niger AT1,22720758620
Guinea CT59,22479347654
Malawi AT1,265881926321
Azerbaijan AT1,994551842711
Bolivia ET5,59160882798
Sierra Leone AT8,23277677074
Morocco ET6,212622372166
Niger AT1,22720775870
Malawi AV7,265883375071
Haiti ET7,50932232108
Honduras AT,50472170888
Niger AT1,22720751425
Lithuania E44,37070095015
Haiti ET7,50932231468
Tunisia AV23,21650003238
Morocco ET6,212622376346
Djibouti AV2,25377756088
Morocco ET6,212622375973
Cuba E10,5319934002
Zimbabwe AV1,263770022607
Latvia P71,37169000060
Eq Guinea T1,240551544848
Sierra Leone AT8,23277679901
Eq Guinea T1,240582374680
Malawi AV3,265881929903
Zimbabwe AV1,263770022600
Malawi AT1,265881926686
St. Helena PS5,290986898
Guinea T11,22478888493
Malawi AT1,265881926313
Georgia P1,995577896419
Georgia P1,995577896417
Equatorial Guinea CT39,240905000983
Montenegro ET3,382682310772
Sierra Leone AT14,23233934331
Guinea CT59,22479347653
Equatorial Guinea T15,240991441252
Haiti ET7,50932231921
Central African Republic CT10,23676420125
Equatorial Guinea CT17,240222604549
Haiti ET7,50932234072
Cuba AV141,5348796101
Haiti ET7,50932233589
Central African Republic CT3,23677121126
Djibouti AV2,25377756081
Finland P1,358409034708
Jordan CT14,962797303524
Zimbabwe ET33,263777261682
Malawi AT1,265881926899
CAR ET3,23675352306
Malawi AT1,265881926854
Bolivia ET1,59160880080
Equatorial Guinea T15,240991442518
Eq Guinea T1,240555290065
Monaco Mobile AV3,37744174447
Montenegro AV4,38267922134
Sierra Leone AT8,23277676353
CAR ET5,23677239929
Lithuania P3,37062600036
Estonia P25,37256145212
Jordan CT14,962797303521
Jordan CT14,962797303527
Equatorial Guinea CT16,240222292222
Sierra Leone AT14,23233853067
Guinea CT58,22479920772
South Africa BD1,27310880046
Jordan CT14,962797303525
Monaco ET1,37744934873
Guinea CT58,22479920518
Gabon AT10,2410323794
St Vincent AV6,17844003622
Sierra Leone AT9,23288432259
Morocco AV19,212604807609
Eq Guinea T1,2405164319
CAR ET3,23675354352
Guinea AV4,22430444703
CAR ET5,23677238301
Djibouti AV2,25377756086
Jordan CT14,962797303523
Lithuania P18,37066814443
Djibouti AV2,25377756084
Malawi AV7,265883375069
Tunisia AV9,21628963409
Sierra Leone AT8,23277677376
Equatorial Guinea T15,240991446378
Equatorial Guinea T4,2406264253
Morocco ET6,212622373795
Morocco ET6,212622376670
Ecuador ET40,593947535745
Ecuador ET40,593947535773
Madagascar AV7,261202255009
Sierra Leone AT8,23277678724
Ecuador ET40,593947538701
Eq Guinea T1,240933532665
Niger AT1,22720738313
Ecuador ET40,593947530268
Montenegro ET3,382682316601
Morocco ET6,212622378628
Ecuador ET40,593947533926
Estonia P25,37256145348
Montenegro ET9,382689972239
Sierra Leone AT9,23288159429
Gabon AT10,2410371368
Latvia E43,37166269031
Algeria ET5,213558928134
Azerbaijan AT1,994551842729
Montenegro ET9,382689971965
South Africa BD1,27310880057
Cuba AT,5353414198
Guinea CT58,22479920774
St. Helena AT2,2908464
Guinea AV4,22430444704
Central African Republic CT10,23676411496
Lithuania E44,37070095013
Car CT1,2367712013
CAR ET3,23675356168
Tunisia AV20,21654402710
Estonia P25,37256145219
Morocco ET6,212622373695
Guinea CT59,22479347743
Montenegro ET9,382689970655
Guinea T11,22478888451
Lithuania E44,37070095016
Estonia P25,37256145230
Guinea CT59,22479347652
Zimbabwe AT,263734958036
Monaco Mobile AV3,37744174448
Lithuania E44,37070095012
Latvia E67,37127952407
CAR ET5,23677235103
Monaco ET1,37744935632
Guinea CT58,22479920771
Guinea CT59,22479347740
St. Helena PS2,290610063
Lithuania P3,37061910133
Malawi AV3,265881929904
Sierra Leone AT9,23288468821
Finland P1,358409034706
Tunisia ET8,21620373209
Estonia P25,37256145253
Estonia P25,37256145223
Jordan CT30,962790506170
Estonia P25,37256145240
Central African Republic CT2,23676100219
Estonia P25,37256145347
Morocco AV5,212662004278
Montenegro ET9,382689971957
Latvia P71,37169000054
Belgium AT1,32468902473
Sierra Leone AT14,23233936511
Tunisa AV3,21628923309
Seychelles AT1,2482682584
Estonia P25,37256145315
Eq Guinea T1,240996061780
Malawi AV7,265883375081
Finland P1,358409034700
Ascension AV3,24740956405
Estonia P25,37256145255
Macedonia ET1,38978220172
Estonia P25,37256145341
Finland P1,358409034707
Tunisia AV14,21698020008
Estonia P25,37256145285
Equatorial Guinea T15,240991446696
Zimbabwe AV3,263770022613
Estonia P25,37256145289
Tunisia ET8,21620372141
Eq Guinea T1,240556667008
Estonia P25,37256145238
Finland P1,358409034783
Eq Guinea T1,240555292591
Lithuania P3,37061910058
Estonia P14,37257237185
Niger AT1,22720735287
Latvia E47,37123605008
Niger AT1,22720756430
Finland P1,358409034709
Niger AT1,22720771782
Zimbabwe AV1,263770022605
Estonia P25,37256145251
Ascension Island AT1,24777986
Sierra Leone AT9,23288231341
Tunisia AV20,21654402711
Estonia P25,37256145326
Equatorial Guinea CT37,240907177443
Car CT2,23676109983
Latvia E47,37123605009
Montenegro AV4,38267922135
Tunisia AV23,21650003230
Guinea CT59,22479347659
Tunisia AV19,21653899311
Latvia E63,37125061006
Equatorial Guinea T5,240907556290
Jordan CT60,962796323219
Estonia P14,37257237194
Montenegro ET9,382689972457
Monaco Mobile AV3,37744174445
St. Helena PS5,290986815
Estonia P14,37257237196
Sierra Leone T1,23221102403
CAR ET5,23677230304
Estonia P14,37257237217
Estonia P14,37257237213
Finland P1,358409034782
Mali CT64,22377397062
Estonia P38,37281100703
Estonia P14,37257237195
Tunisia ET8,21620374779
Latvia E105,37190401602
Estonia P14,37257237221
Latvia P71,37169000069
Belgium AT1,32468902261
Latvia E47,37123605007
Estonia P14,37257237214
Latvia P71,37169000066
Qatar CT5,97477923675
Lithuania P2,37065568772
Estonia P14,37257237097
Lithuania P1,37065065579
Cayman Islands AT,13459165523
Eq Guinea T1,240555643923
Georgia P1,995577896427
Latvia E45,37122787008
Lithuania P1,37065065575
Equatorial Guinea T3,240351090001
Chad AV4,23598841603
Estonia P14,37257237184
Mauritania AV12,22236300052
Liberia T20,231332261104
Latvia E67,37127952404
Equatorial Guinea T4,2406264588
Estonia P56,37257239482
Chad AV16,23599439283
Estonia P56,37257239484
St. Helena AT2,2908943
Latvia P71,37169000068
Guinea T11,22478888429
Lithuania E44,37070095014
Jordan CT30,962790506172
Niger AT1,22720738992
Morocco AV6,212602771205
Cuba E10,5319934003
Tunisia AV19,21653899318
Latvia E40,37122247954
Lithuania P3,37062600041
Equatorial Guinea T4,2406264004
Tunisia ET8,21620374247
Ascension Islands AT1,247047333
Morocco ET6,212622377321
Eq Guinea T3,2409472413
Latvia E43,37166269005
Eq Guinea T1,2406448475
Equatorial Guinea T5,240907558600
Central African Republic CT10,23676420121
Estonia P56,37257239485
St Vincent AV6,17844003625
Zimbabwe AT,263738821014
Seychelles AT1,2482682585
Latvia P71,37169000071
Latvia P71,37169000062
Central African Republic CT10,23676420126
Malawi AT1,265881926599
Ascension AV4,24747623507
Morocco ET6,212622379922
Guinea AV4,22430444709
Cuba E10,5319934004
Georgia P1,995577896445
Qatar CT5,97477923670
St. Helena PS2,290610370
Equatorial Guinea T5,240907579325
Equatorial Guinea T5,240907574771
Sierra Leone ET2,23222865107
Malawi AT1,265881926297
St. Helena PS3,290932376
Niger AT1,22720738982
Latvia P71,37169000064
Morocco AV5,212662004272
Abkhazia E2,79407642813
Montenegro ET3,382682310989
Gabon AT10,2410313748
Morocco CT29,212696898051
Equatorial Guinea T4,2406264096
Equatorial Guinea T5,240907525264
Equatorial Guinea T5,240907523832
Central African Republic CT10,23676420128
Bolivia ET5,59160882103
Malawi AT1,265881926605
Cuba E10,5319934005
Ascension AV3,24740956406
St. Helena PS5,290986850
Guinea AV4,22430444708
Cuba E10,5319934006
Latvia E47,37123605006
Cuba AT,5301547304
Eq Guinea T1,240907619966
Latvia E45,37122787006
Central African Republic CT10,23676420122
Montenegro AV2,382680700123
Morocco AV6,212602771204
Falkland Islands ET4,50096523
Malawi AV7,265883375077
Montenegro AV2,382680700122
Latvia E43,37166269030
Zimbabwe AT,263738821011
Tunisia ET8,21620374550
CAR ET5,23677237083
Georgia P1,995577896429
Latvia E43,37166269003
Cuba AT,5353414190
Morocco AV5,212662004282
St. Helena PS3,290932156
Tunisia AV23,21650003312
Latvia E63,37125061002
Latvia E43,37166269029
Tunisa AV3,21628923304
Guinea CT59,22479347410
Jordan CT30,962790506178
Honduras AT,50472170892
Finland P1,358409034781
Algeria Mobile AV6,213670570537
Latvia E43,37166269027
St. Helena PS3,290932284
Guinea CT59,22479347415
Malawi AT1,265881926122
Latvia E67,37127952411
Guinea CT59,22479347744
Qatar CT14,97477926805
Falkland Islands ET4,50096234
Equatorial Guinea T3,240351090007
Eq Guinea T1,240666707752
Finland P1,358409034785
Guinea CT59,22479347414
Mali CT64,22377397061
Gabon AT10,2410361400
Latvia E63,37125061005
Monaco ET1,37744938700
Gabon AT10,2410399148
Tunisia AV19,21653899315
Malawi AT1,265881926773
Latvia E67,37127952406
Estonia P38,37281100708
Central African Republic CT10,23676420124
Latvia P71,37169000058
Eq Guinea T1,240555944239
Qatar CT5,97477923674
Tunisia AV17,21658500468
Azerbaijan AT1,994551842287
Liberia T12,231332553301
Tunisia AV9,21628963405
Eq Guinea T1,24090777139
Qatar CT14,97477926801
Equatorial Guinea CT39,240905006626
Latvia E47,37123605013
Albania CT4,35566623017
Equatorial Guinea T15,240991444092
Equatorial Guinea CT17,240222604544
Malawi AV7,265883375063
Ascension AV3,24740956404
Latvia E105,37190401604
Jordan CT20,962790516981
Cape Verde ET2,23858741185
Qatar CT44,97477924402
Eq Guinea T2,24036597119
Guinea CT59,22479347741
Chad AV16,23599439281
Tunisa AV2,21628978206
Eq Guinea T3,2409472402
Central African Republic CT10,23676411495
Guinea Bissau AT6,245955524463
Latvia E43,37166269033
Latvia E43,37166269026
Cuba AV24,5399986106
Gabon AT10,2410395339
Congo CT37,242800201123
Niger AT1,22720780204
Lithuania P7,37066635434
Montenegro ET3,382682319748
Malawi AV7,265883375062
Equatorial Guinea CT37,240907177444
Poland P1,48739101526
Qatar CT14,97477926803
Estonia P38,37281100704
Equatorial Guinea CT37,240907177442
Montenegro ET9,382689972139
Latvia P71,37169000059
Eq Guinea T1,240555397856
Eq Guinea T1,240995109895
Malawi AV7,265883375065
Eq Guinea T1,240555592393
Lithuania P16,37066811600
Morocco CT28,212696958749
Zambia AT1,260979112880
Latvia E67,37127952402
Qatar CT51,97477925833
Equatorial Guinea CT17,240222604543
Honduras ET6,50495398609
Cape Verde ET2,23858741298
Equatorial Guinea T1,240668000597
Malawi AV7,265883375070
Equatorial Guinea CT39,240905000989
Car CT2,23676108781
Malawi AT1,265881926412
St Pierre Miquelon AT2,508557154
Estonia P16,37254102111
Qatar CT14,97477926806
Eq Guinea T1,240966309487
Morocco CT28,212696958745
Cape Verde ET2,23858740601
Ascension AT1,247562978
Honduras AT,50472170078
Cape Verde ET2,23858741836
Georgia P1,995577896459
Lithuania P3,37062600032
Honduras ET6,50495397921
Honduras ET6,50495399692
Malawi AT1,265881926872
Algeria Mobile AV6,213670570530
Estonia P38,37281100702
CAR ET5,23677236625
Zambia AV5,260218924901
Equatorial Guinea T5,240907581452
Guinea CT59,22479347742
Cape Verde ET2,23858741363
Equatorial Guinea CT39,240905000987
Gabon AT10,2410391916
Equatorial Guinea CT39,240905000986
Georgia P1,995577896420
Eq Guinea T1,240222903305
Montenegro ET4,382686036168
Tunisia AT,21620365860
Latvia E63,37125061009
Guinea CT59,22479347413
Lithuania P16,37066811595
Equatorial Guinea T4,2406264940
Estonia P14,37257237098
Ascension AV4,24747623504
Estonia P14,37257237086
Tunisia AV20,21654402718
Jordan CT5,962777879674
Montenegro ET3,382682316663
Abkhazia E3,79407906314
Estonia P38,37281100701
Estonia P10,37256101321
Tunisia AT,21620365810
Estonia P10,37256101320
Equatorial Guinea T5,240907502122
Malawi AT1,265881926630
Latvia E43,37166269001
Gabon CT1,24101732835
Malawi AT1,265881926137
Bolivia ET10,59179352038
Gabon AT10,2410323471
Equatorial Guinea T5,240907594179
Barbados AV6,12462530714
Guinea CT59,22479347657
Georgia P1,995577896425
Estonia P10,37256101322
Eq Guinea T2,24036597107
Central African Republic CT5,23677121353
Algeria CT44,213554166572
Latvia P71,37169000073
Estonia P10,37256101319
Equatorial Guinea T5,240907502112
Equatorial Guinea T5,240907507624
Estonia P14,37257237236
Equatorial Guinea CT37,240907177440
Congo CT37,242800201122
Central African Republic CT10,23676411493
Congo CT37,242800201126
Georgia P1,995577896416
Ascension Islands AT1,247047700
Congo ET4,242047359248
Guinea CT59,22479347411
Gabon AT10,2410308249
Latvia E43,37166269002
Madagascar ET15,261324182042
Equatorial Guinea CT39,240905000980
Tunisia AT,21620365645
Honduras ET6,50495396304
Seychelles Mobile AV1,2482704011
Equatorial Guinea T5,240907502120
Gabon AT10,2410309290
Eq Guinea T1,240555636178
Gabon AT10,2410371325
Algeria CT44,213554166579
St. Helena PS2,290610788
Eq Guinea T1,240555954478
Latvia E67,37127952403
Ascension AV4,24747623506
Latvia E67,37127952410
Cuba E10,5319934009
Mauritania AV4,22251911508
Cuba E10,5319934007
Mauritania AV4,22251911505
Guinea AV4,22430444701
Zambia AT1,260973879025
Lithuania P3,37062600038
Morocco CT28,212696958743
St. Helena PS2,290610627
Algeria AT,21356485400
Congo ET4,242047354796
Macedonia ET1,38978221888
Guinea CT59,22479347655
Eq Guinea T1,240556667015
Latvia E63,37125061003
Mauritania AV4,22251911506
Morocco AV19,212604807606
Chad AV16,23599439299
Montenegro AV4,38267922139
Eq Guinea T1,240555742646
Estonia P10,37256101323
Congo CT24,242800209572
Congo CT37,242800201124
Chad AV16,23599439288
Lithuania P18,37066814442
Honduras AT,50472170690
Equatorial Guinea CT32,240922725469
Guinea CT59,22479347416
Lithuania P16,37066811598
Ascension AV4,24747623508
Maldives AT,9607718011
Saint Helena KW1,290121519
Malawi AT1,265881926612
Guinea CT59,22479347412
Zimbabwe AT,263738821017
Honduras ET6,50495394826
Guinea ET10,22420807105
Zimbabwe AV1,263770022604
Guinea CT59,22479347417
Qatar CT58,97430272757
Cuba E10,5319934011
Cuba E10,5319934008
Honduras ET6,50495397364
Tunisia AT,21620365026
Zimbabwe AT,263738821010
Jordan CT13,962797394561
Switzerland AT1,41742791524
Gabon AT10,2410386071
Montenegro ET4,382686036780
Ascension AV3,24740956407
Switzerland AT1,41742791039
Jordan CT13,962797394569
Somalia CT127,25285106408
Jordan CT5,962777879675
Gabon AT10,2410362165
Equatorial Guinea CT37,240907177449
Mali E1,22360221214
Cuba E10,5319934010
Poland P1,48739101510
Zimbabwe AT,263734958082
Equatorial Guinea T5,240907509485
Equatorial Guinea T5,240907575848
Gabon AT10,2410326861
Eq Guinea T1,240055610228
Equatorial Guinea T5,240907568554
Switzerland AT1,41742791749
Zambia AT,260971288217
Morocco ET6,212622379713
Liberia T20,231332261262
Equatorial Guinea AT,2409472428
Morocco CT28,212696958742
Monaco ET1,37744932068
Mali E1,22360221213
Eq Guinea T1,240555399902
Honduras AT,50472170832
Latvia E47,37123605014
Equatorial Guinea T5,240907514254
Poland P1,48739101507
Burkina Faso AV5,22670910289
Poland P1,48739101512
Honduras ET2,50497714245
Zimbabwe AT,263738821013
Poland P1,48739101514
Switzerland AT1,41742791427
Equatorial Guinea T5,240907583120
Mali E1,22360221215
Morocco ET6,212622379992
Malawi AT1,265881926353
